"","Year","Name","Lg","Team","Vote_PTS","First_Place","WAR","BS_G","AB","R","BS_H","BS_HR","RBI","SB","BS_BB","BA","OBP","SLG","OPS","W","L","ERA","WHIP","PS_G","GS","SV","IP","PS_H","PS_HR","PS_BB","SO"
"121",1979,"Don Baylor","AL","CAL",347,20,3.7,162,628,120,186,36,139,22,71,0.296,0.371,0.53,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",1979,"Keith Hernandez","NL","STL",216,4,7.6,161,610,116,210,11,105,11,80,0.344,0.417,0.513,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",1980,"George Brett","AL","KCR",335,17,9.4,117,449,87,175,24,118,15,58,0.39,0.454,0.664,1.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",1980,"Mike Schmidt","NL","PHI",336,24,8.9,150,548,104,157,48,121,12,89,0.286,0.38,0.624,1.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",1981,"Rollie Fingers","AL","MIL",319,15,4.2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,6,3,1.04,0.872,47,0,28,78,55,3,13,61
"126",1981,"Mike Schmidt","NL","PHI",321,21,7.7,102,354,78,112,31,91,12,73,0.316,0.435,0.644,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1982,"Robin Yount","AL","MIL",385,27,10.6,156,635,129,210,29,114,14,54,0.331,0.379,0.578,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",1982,"Dale Murphy","NL","ATL",283,14,6.1,162,598,113,168,36,109,23,93,0.281,0.378,0.507,0.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",1983,"Cal Ripken Jr.","AL","BAL",322,15,8.2,162,663,121,211,27,102,0,58,0.318,0.371,0.517,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",1983,"Dale Murphy","NL","ATL",318,21,7.1,162,589,131,178,36,121,30,90,0.302,0.393,0.54,0.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",1984,"Willie Hernández","AL","DET",306,16,4.8,2,0,0,0,0,0,0,0,NA,NA,NA,NA,9,3,1.92,0.941,80,0,32,140.1,96,6,36,112
"132",1984,"Ryne Sandberg","NL","CHC",326,22,8.5,156,636,114,200,19,84,32,52,0.314,0.367,0.52,0.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",1985,"Don Mattingly","AL","NYY",367,23,6.5,159,652,107,211,35,145,2,56,0.324,0.371,0.567,0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",1985,"Willie McGee","NL","STL",280,14,8.2,152,612,114,216,10,82,56,34,0.353,0.384,0.503,0.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",1986,"Roger Clemens","AL","BOS",339,19,8.8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,24,4,2.48,0.969,33,33,0,254,179,21,67,238
"136",1986,"Mike Schmidt","NL","PHI",287,15,6.1,160,552,97,160,37,119,1,89,0.29,0.39,0.547,0.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",1987,"George Bell","AL","TOR",332,16,5,156,610,111,188,47,134,5,39,0.308,0.352,0.605,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",1987,"Andre Dawson","NL","CHC",269,11,4,153,621,90,178,49,137,11,32,0.287,0.328,0.568,0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",1988,"José Canseco","AL","OAK",392,28,7.3,158,610,120,187,42,124,40,78,0.307,0.391,0.569,0.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
