"","Year","Name","Lg","Team","Vote_PTS","First_Place","BS_G","AB","R","BS_H","BS_HR","BS_BB","OPS","WHIP","PS_G","GS","PS_H","PS_HR","PS_BB","WAR","BA","OBP","SLG","HR","RBI","SB","W","L","SV","ERA","IP","SO","Pitcher"
"114",1975,"Joe Morgan","NL","CIN",321,21,146,498,107,163,17,132,0.974,NA,NA,NA,NA,NA,NA,11,0.327,0.466,0.508,17,94,67,NA,NA,NA,NA,NA,NA,FALSE
"115",1976,"Thurman Munson","AL","NYY",304,18,152,616,79,186,17,29,0.769,NA,NA,NA,NA,NA,NA,5.3,0.302,0.337,0.432,17,105,14,NA,NA,NA,NA,NA,NA,FALSE
"116",1976,"Joe Morgan","NL","CIN",311,19,141,472,113,151,27,114,1.02,NA,NA,NA,NA,NA,NA,9.6,0.32,0.444,0.576,27,111,60,NA,NA,NA,NA,NA,NA,FALSE
"117",1977,"Rod Carew","AL","MIN",273,12,155,616,128,239,14,69,1.019,NA,NA,NA,NA,NA,NA,9.7,0.388,0.449,0.57,14,100,23,NA,NA,NA,NA,NA,NA,FALSE
"118",1977,"George Foster","NL","CIN",291,15,158,615,124,197,52,61,1.013,NA,NA,NA,NA,NA,NA,8.4,0.32,0.382,0.631,52,149,6,NA,NA,NA,NA,NA,NA,FALSE
"119",1978,"Jim Rice","AL","BOS",352,20,163,677,121,213,46,58,0.97,NA,NA,NA,NA,NA,NA,7.6,0.315,0.37,0.6,46,139,7,NA,NA,NA,NA,NA,NA,FALSE
"120",1978,"Dave Parker","NL","PIT",320,21,148,581,102,194,30,57,0.979,NA,NA,NA,NA,NA,NA,7,0.334,0.394,0.585,30,117,20,NA,NA,NA,NA,NA,NA,FALSE
"121",1979,"Don Baylor","AL","CAL",347,20,162,628,120,186,36,71,0.901,NA,NA,NA,NA,NA,NA,3.7,0.296,0.371,0.53,36,139,22,NA,NA,NA,NA,NA,NA,FALSE
"122",1979,"Keith Hernandez","NL","STL",216,4,161,610,116,210,11,80,0.93,NA,NA,NA,NA,NA,NA,7.6,0.344,0.417,0.513,11,105,11,NA,NA,NA,NA,NA,NA,FALSE
"123",1980,"George Brett","AL","KCR",335,17,117,449,87,175,24,58,1.118,NA,NA,NA,NA,NA,NA,9.4,0.39,0.454,0.664,24,118,15,NA,NA,NA,NA,NA,NA,FALSE
"124",1980,"Mike Schmidt","NL","PHI",336,24,150,548,104,157,48,89,1.004,NA,NA,NA,NA,NA,NA,8.9,0.286,0.38,0.624,48,121,12,NA,NA,NA,NA,NA,NA,FALSE
"125",1981,"Rollie Fingers","AL","MIL",319,15,1,0,0,0,0,0,NA,0.872,47,0,55,3,13,4.2,NA,NA,NA,NA,NA,NA,6,3,28,1.04,78,61,TRUE
"126",1981,"Mike Schmidt","NL","PHI",321,21,102,354,78,112,31,73,1.08,NA,NA,NA,NA,NA,NA,7.7,0.316,0.435,0.644,31,91,12,NA,NA,NA,NA,NA,NA,FALSE
"127",1982,"Robin Yount","AL","MIL",385,27,156,635,129,210,29,54,0.957,NA,NA,NA,NA,NA,NA,10.6,0.331,0.379,0.578,29,114,14,NA,NA,NA,NA,NA,NA,FALSE
"128",1982,"Dale Murphy","NL","ATL",283,14,162,598,113,168,36,93,0.885,NA,NA,NA,NA,NA,NA,6.1,0.281,0.378,0.507,36,109,23,NA,NA,NA,NA,NA,NA,FALSE
"129",1983,"Cal Ripken Jr.","AL","BAL",322,15,162,663,121,211,27,58,0.888,NA,NA,NA,NA,NA,NA,8.2,0.318,0.371,0.517,27,102,0,NA,NA,NA,NA,NA,NA,FALSE
